Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),,,,,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
8/29/19,,1767.113181,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/19,,1779.999755,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/19,65,2067.284084,2244.70382,1,1,,,,,,,,2.034977893,31.65813828,0.169057295,5984,86.5,86.5,86.5,,71582021,4041099,,,,,
9/1/19,51,1951.178876,836.4074772,,,,,,,,,,0.782777609,3.093252182,0.25605306,5236,,,,,81023838,2414817,,,,,
9/2/19,67,1911.220286,1007.211211,,,,,,,,,,1.688854701,23.70960617,0.244090721,6504,,,,,77058825,1671127,78899,,,,
9/3/19,83,2115.06045,3854.08352,,,,,,,,,,0.864192748,21.75978661,0.165079162,7274,,,,,80244093,4609066,,,,,
9/4/19,114,2127.377799,6000.878971,36,36,,,,,,,,2.020718466,31.7682991,0.174285695,10419,,,,,75057287,4570039,,,,,
9/5/19,87,2046.907602,3567.609518,6,6,,,,,,,,2.181779709,31.8663826,0.154933259,8119,,,,,73001626,3567274,67550,,,,
9/6/19,167,2324.07203,8294.650669,56,56,,,,,,,,1.96188795,40.62206268,0.213929921,15511,,,,,73155086,7565661,,,,,
9/7/19,11,1789.84598,73.08253574,,,,,,,,,,0.773094516,4.110000134,0.252251446,1651,,,,,86175857,139258,,,,,
9/8/19,15,1791.41298,104.9150795,,,,,,,,,,0.901734504,2.814982414,0.501591444,1949,,,,,86091476,161421,,,,,
9/9/19,174,2390.718963,9227.425899,76,76,,,,,,,,2.323770172,32.30118942,0.097772434,16032,,,,,70449147,8497474,,,,,
9/10/19,7,1784.223995,14.5561347,,,,,,,,,,0.822603008,2.209472418,0.504168332,1902,,,,,86340254,59746,,,,,
9/11/19,123,2203.460171,7243.069348,52,52,,,,,,,,1.922975897,31.95827866,0.181295559,11561,,,,,74068473,5847595,,,,,
9/12/19,49,1924.67797,2333.556149,17,17,,,,,,,,1.255220143,22.83326912,0.278291583,5291,,,,,78767786,2043461,,,,,
9/13/19,141,2298.044966,6803.807311,58,58,,,,,,,,1.923553763,33.18278122,0.121931143,13324,,,,,70989686,7276296,,,,,
9/14/19,22,1799.682472,159.5731471,,,,,,,,,,1.089978871,3.521550417,0.422842979,2697,,,,,86053750,278359,,,,,
9/15/19,31,1835.482153,778.9928837,4,4,,,,,,,,1.187782538,25.54508209,0.113626778,3740,,,,,83757502,755269,,,,,
9/16/19,157,2299.877423,7669.379166,61,61,,,,,,,,1.988868534,33.20254898,0.151438951,14178,,,,,72503059,7296758,,,,,
9/17/19,9,1799.490899,146.8795571,,,,,,,,,,1.364949928,4.289999962,0.322737157,1425,,,,,86057324,275672,,,,,
9/18/19,133,2242.087828,7309.6302,50,50,,,,,,,,1.863505872,32.63525772,0.106406152,12613,,,,,74789449,6199582,,,,,
9/19/19,33,1873.784009,1264.659683,4,4,,,,,,,,1.099783196,25.84984207,0.151986569,3931,,,,,83891659,1310133,,,,,
9/20/19,127,2207.253618,6391.344987,46,46,,,,,,,,2.471232745,32.10295868,0.349126339,11982,,,,,74664492,5979981,,,,,
9/21/19,26,1830.582758,761.3476493,4,4,,,,,,,,1.428761423,27.26221657,0.342977405,3480,,,,,84037538,711902,,,,,
9/22/19,2,1781.132006,11.76777816,,,,,,,,,,0.68654753,1.791468501,0.5,1356,,,,,86383988,16012,,,,,
9/23/19,182,2376.009067,10215.79364,70,70,,,,,,,,2.106296594,33.53503799,0.142546743,16697,,,,,73018919,7940760,69494,,,,
9/24/19,5,1785.395401,28.44916463,,,,,,,,,,1.031265546,2.799999952,0.5,1049,,,,,86323686,76314,,,,,
9/25/19,186,2420.677615,10944.56952,90,90,,,,,,,,2.497169382,32.48538208,0.123831272,17215,,,,,71060982,8776166,,,,,
9/26/19,26,1838.778039,708.5489476,1,1,,,,,,,,0.963532467,23.83969116,0.260264695,2815,,,,,84451523,643399,70330,,,,
9/27/19,152,2297.15632,8120.709436,61,61,,,,,,,,2.060611357,34.77000046,0.252444685,13645,,,,,71903585,6912468,,,,,
9/28/19,19,1864.217907,649.6247088,2,2,,,,,,,,3.363833176,33.46812057,0.272316009,2355,,,,,71541507,1178157,,,,,
9/29/19,7,1788.889386,83.60981965,,,,,,,,,,0.98034335,3.607480049,0.505180478,1639,,,,,86274268,125732,,,,,
9/30/19,155,2335.852414,9499.117137,68,68,,,,,,,,2.018618013,33.26823425,0.271422863,14891,,,,,72188070,7549429,,,,,
10/1/19,122,2014.040484,2511.714774,2,2,,,,,,,,1.728825118,33.34814835,0.239581004,8954,,,,,78131633,3244327,,,,,
10/2/19,178,2376.666614,8940.48029,53,53,,,,,,,,1.975928397,32.64331818,0.107396379,16057,,,,,72028732,8244938,,,,,
10/3/19,110,2188.833073,6828.126658,70,70,,,,,,,,1.015866891,19.02164078,0.167077824,12228,,,,,79229349,5768850,,,,,
10/4/19,157,2288.081438,8034.100532,53,53,,,,,,,,1.942184507,32.14878464,0.222272575,14691,,,,,73051314,7089789,,,,,
10/5/19,11,1784.618789,23.1866653,,,,,,,,,,0.939258211,2.878003359,0.342407048,2123,,,,,86301214,65328,,,,,
10/6/19,33,1848.384191,635.9902811,,,,,,,,,,1.0708497,21.53892136,0.227842063,4112,,,,,83007850,964580,,,,,
10/7/19,113,2205.888025,6382.680603,48,48,,,,,,,,2.021339357,32.70633316,0.052445885,11022,,,,,73202474,6005046,,,,,
10/8/19,6,1787.117639,61.86712503,,,,,,,,,,0.856876928,3.334220886,0.373793155,1444,,,,,86299330,100670,,,,,
10/9/19,155,2271.14596,7887.401756,74,74,,,,,,,,2.215600619,30.72999954,0.116088375,14701,,,,,74472478,6867229,,,,,
10/10/19,40,1868.629252,1140.996593,4,4,,,,,,,,1.348431311,18.54999924,0.467705548,3925,,,,,82666675,1239638,,,,,
10/11/19,128,2244.514797,6697.327341,65,64,,,,,,,,2.07995214,26.64999962,0.159736231,12644,,,,,74762297,6213392,135393,,,,
10/12/19,78,1953.075998,2226.703248,5,5,,,,,,,,0.921272434,14.18999958,0.272781521,7726,,,,,82364130,2415402,,,,,
10/13/19,41,1847.628422,596.0434481,,,,,,,,,,0.975455265,21.25973701,0.346285135,4483,,,,,82268188,956070,,,,,
10/14/19,149,2274.38062,7434.651834,72,72,,,,,,,,1.350958001,27.5,0.234110415,14732,,,,,74784303,6986727,,,,,
10/15/19,41,1855.482509,874.305239,2,2,,,,,,,,0.938343221,17.21717834,0.216328084,3736,,,,,81525087,1050317,,,,,
10/16/19,122,48.26578863,,61,61,,,,,,,,2.523308456,27.93000031,0.504104197,11790,,,,,2342789,,,,,,
10/17/19,57,,,18,18,,,,,,,,0.917076908,3.397788763,0.541864753,5537,,,,,,,,,,,
10/18/19,152,,,63,63,,,,,,,,0.963546055,1.844385505,0.527435064,15104,,,,,,,,,,,
10/19/19,21,,,,,,,,,,,,1.404431178,19.10339546,0.502910793,2743,,,,,,,,,,,
10/20/19,61,246.5244824,,,,,,,,,,,0.989041199,2.539852142,0.502206028,5575,,,,,,,,,,,
10/21/19,176,1779.999878,,62,62,,,,,,,,1.660456414,23.9458313,0.500042796,15917,,,,,,,,,,,
10/22/19,85,1781.13395,11.5235548,17,17,,,,,,,,1.445812781,18,0.503656626,8243,,,,,11924396,16040,,,,,
